Rider_ID,Postal_Code,Longitude,Latitude
5001,118109,103.7907452,1.2795
5002,120117,103.7711846,1.3245
5003,129168,103.7563614,1.3229
5004,188971,103.853629,1.2992
5005,189862,103.8585474,1.3011
5006,199572,103.8617336,1.3016
5007,208886,103.8574716,1.3084
5008,218019,103.8524863,1.3072
5009,238252,103.8391992,1.2901
5010,248296,103.8289408,1.2954
5011,248533,103.8068881,1.3038
5012,249279,103.8269668,1.3006
5013,249773,103.821118,1.3
5014,258318,103.8269512,1.3181
5015,259448,103.8192332,1.3153
5016,267211,103.7967866,1.324
5017,269032,103.8074756,1.3246
5018,276242,103.7812777,1.3126
5019,279843,103.7908883,1.3315
5020,279955,103.7861924,1.3321
5021,298800,103.8205532,1.3281
5022,299210,103.8182705,1.3287
5023,310195,103.8583546,1.3301
5024,320029,103.8585655,1.3254
5025,328235,103.8669882,1.3267
5026,328481,103.865237,1.3283
5027,357982,103.8686217,1.3468
5028,369255,103.884269,1.3308
5029,370028,103.8865792,1.3305
5030,387405,103.8713473,1.3115
5031,388513,103.8786439,1.3152
5032,400326,103.9038042,1.3272
5033,416933,103.9099258,1.3223
5034,418120,103.9065233,1.3305
5035,418934,103.9126107,1.3198
5036,419785,103.9076829,1.3183
5037,423756,103.9085788,1.3181
5038,424072,103.9071026,1.308
5039,424340,103.9058693,1.3109
5040,424379,103.9063769,1.3122
5041,424768,103.9018254,1.3094
5042,424952,103.902815,1.3143
5043,425940,103.9126246,1.3142
5044,426167,103.9061551,1.3166
5045,426518,103.9026085,1.316
5046,436803,103.8924293,1.3076
5047,439058,103.8911948,1.3041
5048,440077,103.9085862,1.302
5049,440083,103.9060746,1.3026
5050,457568,103.9197853,1.3104
5051,468213,103.9478124,1.3235
5052,470627,103.9155993,1.334
5053,499633,103.9719219,1.349
5054,508846,103.9680417,1.3746
5055,509026,103.9577946,1.3783
5056,518342,103.9442023,1.3792
5057,519634,103.9492651,1.373
5058,520154,103.9569966,1.3448
5059,530718,103.8861704,1.3666
5060,531174,103.88875,1.3496
5061,535817,103.8836549,1.3431
5062,539457,103.9016175,1.3568
5063,547334,103.8775247,1.3597
5064,548927,103.8788951,1.3567
5065,549009,103.8752534,1.3602
5066,556845,103.870129,1.3649
5067,557527,103.8675647,1.369
5068,558065,103.8646056,1.3678
5069,568410,103.8615165,1.3541
5070,570451,103.830067,1.3585
5071,574939,103.8343072,1.3791
5072,575756,103.8348821,1.3786
5073,576316,103.8276693,1.3757
5074,58683,103.8484294,1.2872
5075,589786,103.7864826,1.3433
5076,596289,103.7818413,1.3352
5077,598477,103.7676832,1.344
5078,599017,103.7699368,1.3364
5079,600250,103.739977,1.3427
5080,627837,103.7073274,1.2688
5081,627966,103.7069957,1.3224
5082,640411,103.7252027,1.3537
5083,640419,103.7271727,1.3509
5084,640553,103.7189437,1.3531
5085,640946,103.6904518,1.3442
5086,648662,103.6984771,1.3527
5087,669620,103.7587157,1.3572
5088,669812,103.759445,1.3582
5089,730318,103.7770637,1.4319
5090,730319,103.7774003,1.4315
5091,731886,103.7946118,1.4383
5092,739975,103.7775933,1.4284
5093,788458,103.8211252,1.3998
5094,788906,103.8369915,1.3879
5095,798593,103.8791625,1.3881
5096,79911,103.8444259,1.2739
5097,806437,103.8565323,1.3865
5098,807541,103.8648049,1.3831
5099,808049,103.8641961,1.3837
5100,98102,103.8361798,1.2415
